entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20240802,15:59:00,PUT,5325,5315,10.0,0.1,0.15,0.2,0.0,0.05,15,18.59,17.3,0.0,120.0,WIN,16:00:00,5342.26,5346.5,100120.0
20250408,15:59:00,PUT,4960,4950,10.0,0.45,0.7,1.0,0.15,0.25,15,46.98,16.4,0.0,645.0,WIN,16:00:00,4976.4,4982.78,100765.0
