entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20250110,15:55:00,PUT,5820,5810,10.0,0.2,0.3,0.4,0.05,0.1,15,17.7,10.6,0.0,270.0,WIN,16:00:00,5830.57,5827.02,100270.0
20250124,15:55:00,PUT,6085,6075,10.0,0.1,0.15,0.25,0.0,0.05,15,15.02,11.6,0.0,120.0,WIN,16:00:00,6096.61,6101.24,100390.0
20250131,15:55:00,PUT,6025,6015,10.0,0.4,0.6,0.65,0.15,0.2,15,15.84,14.4,0.0,570.0,WIN,16:00:00,6039.4,6040.46,100960.0
20250207,15:55:00,PUT,6015,6005,10.0,0.05,0.1,0.15,0.0,0.05,15,15.5,13.6,0.0,45.0,WIN,16:00:00,6028.62,6025.99,101005.0
20250221,15:55:00,PUT,6005,5995,10.0,0.05,0.1,0.2,0.0,0.05,15,15.66,12.6,0.0,45.0,WIN,16:00:00,6017.61,6013.23,101050.0
20250314,15:55:00,CALL,5655,5665,10.0,0.2,0.25,0.3,0.0,0.05,15,24.66,13.3,0.0,270.0,WIN,16:00:00,5641.66,5638.94,101320.0
20250321,15:55:00,CALL,5670,5680,10.0,0.2,0.3,0.4,0.0,0.1,15,19.8,11.6,0.0,270.0,WIN,16:00:00,5658.42,5667.35,101590.0
20250328,15:55:00,PUT,5575,5565,10.0,0.35,0.45,0.6,0.05,0.1,15,18.69,10.7,0.0,495.0,WIN,16:00:00,5585.68,5580.95,102085.0
20250502,15:55:00,CALL,5700,5710,10.0,0.15,0.3,0.4,0.05,0.15,15,24.6,11.1,0.0,195.0,WIN,16:00:00,5688.85,5686.63,102280.0
20250509,15:55:00,PUT,5655,5645,10.0,0.1,0.15,0.25,0.0,0.05,15,22.48,10.5,0.0,120.0,WIN,16:00:00,5665.48,5659.91,102400.0
20250509,15:55:00,CALL,5680,5690,10.0,0.05,0.1,0.2,0.0,0.05,15,22.48,14.5,0.0,45.0,WIN,16:00:00,5665.48,5659.91,102445.0
20250523,15:55:00,CALL,5815,5825,10.0,0.2,0.3,0.45,0.05,0.1,15,20.28,13.1,0.0,270.0,WIN,16:00:00,5801.88,5802.83,102715.0
20250530,15:55:00,PUT,5895,5885,10.0,1.0,1.4,1.6,0.3,0.4,15,19.18,11.8,0.0,1470.0,WIN,16:00:00,5906.79,5911.62,104185.0
20250530,15:55:00,CALL,5920,5930,10.0,0.5,0.85,1.05,0.25,0.35,15,19.18,13.2,0.0,720.0,WIN,16:00:00,5906.79,5911.62,104905.0
20250613,15:55:00,PUT,5955,5945,10.0,0.1,0.2,0.35,0.05,0.1,15,18.02,12.9,0.0,120.0,WIN,16:00:00,5967.88,5976.96,105025.0
20250620,15:55:00,PUT,5955,5945,10.0,0.05,0.1,0.2,0.0,0.05,15,20.14,10.9,0.0,45.0,WIN,16:00:00,5965.85,5967.83,105070.0
20250711,15:55:00,PUT,6250,6240,10.0,0.05,0.1,0.15,0.0,0.05,15,15.78,10.3,0.0,45.0,WIN,16:00:00,6260.26,6259.75,105115.0
20250801,15:55:00,PUT,6230,6220,10.0,0.3,0.4,0.5,0.05,0.1,15,16.72,10.6,0.0,420.0,WIN,16:00:00,6240.59,6238.01,105535.0
20250815,15:55:00,PUT,6440,6430,10.0,0.05,0.1,0.15,0.0,0.05,15,14.83,10.2,0.0,45.0,WIN,16:00:00,6450.17,6449.79,105580.0
20250829,15:55:00,PUT,6440,6430,10.0,0.1,0.15,0.2,0.0,0.05,15,14.43,11.2,0.0,120.0,WIN,16:00:00,6451.23,6460.27,105700.0
20250905,15:55:00,PUT,6465,6455,10.0,0.1,0.15,0.2,0.0,0.05,15,15.3,10.1,0.0,120.0,WIN,16:00:00,6475.13,6481.52,105820.0
20251010,15:55:00,PUT,6545,6535,10.0,0.7,1.4,1.6,0.45,0.7,15,16.43,14.4,0.0,1020.0,WIN,16:00:00,6559.43,6552.5,106840.0
20251031,15:55:00,PUT,6840,6830,10.0,0.25,0.4,0.45,0.05,0.15,15,16.91,11.2,0.0,345.0,WIN,16:00:00,6851.19,6840.25,107185.0
20251107,15:55:00,CALL,6730,6740,10.0,0.05,0.1,0.15,0.0,0.05,15,19.5,12.7,0.0,45.0,WIN,16:00:00,6717.31,6728.81,107230.0
20260102,15:55:00,PUT,6840,6830,10.0,0.05,0.1,0.15,0.0,0.05,15,14.95,11.1,0.0,45.0,WIN,16:00:00,6851.14,6858.45,107275.0
