entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20220318,15:55:00,PUT,4445,4425,20.0,0.05,0.1,0.2,0.0,0.05,15,25.67,15.3,0.0,45.0,WIN,16:00:00,4460.3,4463.08,100045.0
20230203,15:55:00,PUT,4125,4105,20.0,0.05,0.1,0.15,0.0,0.05,15,18.73,12.6,0.0,45.0,WIN,16:00:00,4137.61,4136.42,100090.0
20240415,15:55:00,PUT,5050,5030,20.0,0.05,0.1,0.15,0.0,0.05,15,17.31,15.5,0.0,45.0,WIN,16:00:00,5065.49,5061.82,100135.0
20240607,15:55:00,PUT,5335,5315,20.0,0.05,0.1,0.15,0.0,0.05,15,12.58,12.9,0.0,45.0,WIN,16:00:00,5347.91,5347.01,100180.0
20240730,15:55:00,PUT,5430,5410,20.0,0.1,0.15,0.25,0.0,0.05,15,16.6,14.7,0.0,120.0,WIN,16:00:00,5444.71,5436.43,100300.0
20240802,15:55:00,PUT,5320,5300,20.0,0.45,0.55,0.7,0.05,0.1,15,18.59,15.1,0.0,645.0,WIN,16:00:00,5335.07,5346.5,100945.0
20240820,15:55:00,CALL,5610,5630,20.0,0.05,0.1,0.15,0.0,0.05,15,14.65,12.3,0.0,45.0,WIN,16:00:00,5597.69,5597.09,100990.0
20240906,15:55:00,PUT,5395,5375,20.0,0.25,0.3,0.35,0.0,0.05,15,19.9,15.4,0.0,345.0,WIN,16:00:00,5410.38,5408.52,101335.0
20240913,15:55:00,PUT,5615,5595,20.0,0.05,0.1,0.15,0.0,0.05,15,17.07,13.0,0.0,45.0,WIN,16:00:00,5627.97,5626.03,101380.0
20241001,15:55:00,PUT,5695,5675,20.0,0.2,0.25,0.35,0.0,0.05,15,16.73,12.5,0.0,270.0,WIN,16:00:00,5707.52,5708.72,101650.0
20250203,15:55:00,PUT,5985,5965,20.0,0.1,0.15,0.2,0.0,0.05,15,16.43,16.7,0.0,120.0,WIN,16:00:00,6001.67,5994.63,101770.0
20250428,15:55:00,PUT,5525,5505,20.0,0.05,0.1,0.2,0.0,0.05,15,24.84,12.2,0.0,45.0,WIN,16:00:00,5537.22,5528.71,101815.0
20250502,15:55:00,PUT,5675,5655,20.0,0.2,0.25,0.35,0.0,0.05,15,24.6,13.9,0.0,270.0,WIN,16:00:00,5688.85,5686.63,102085.0
20250506,15:55:00,PUT,5605,5585,20.0,0.15,0.2,0.3,0.0,0.05,15,23.64,12.1,0.0,195.0,WIN,16:00:00,5617.14,5606.84,102280.0
20250509,15:55:00,CALL,5680,5700,20.0,0.05,0.1,0.2,0.0,0.05,15,22.48,14.5,0.0,45.0,WIN,16:00:00,5665.48,5659.91,102325.0
20250512,15:55:00,CALL,5850,5870,20.0,0.15,0.2,0.3,0.0,0.05,15,21.9,13.0,0.0,195.0,WIN,16:00:00,5836.97,5844.17,102520.0
20251118,15:55:00,PUT,6615,6595,20.0,0.15,0.2,0.25,0.0,0.05,15,22.38,13.6,0.0,195.0,WIN,16:00:00,6628.6,6617.37,102715.0
20260206,15:55:00,PUT,6925,6905,20.0,0.1,0.15,0.2,0.0,0.05,15,21.77,16.6,0.0,120.0,WIN,16:00:00,6941.56,6932.25,102835.0
20260303,15:55:00,PUT,6800,6780,20.0,0.15,0.2,0.25,0.0,0.05,15,21.44,16.1,0.0,195.0,WIN,16:00:00,6816.14,6816.63,103030.0
